ip,app,device,os,channel,is_attributed
204158,35,1,13,21,1
29692,9,1,22,215,1
64516,35,1,13,21,1
172429,35,1,46,274,1
199085,35,1,13,274,1
82917,19,0,24,210,1
126647,72,1,6,101,1
57546,29,1,41,213,1
189682,35,1,13,21,1
24200,19,88,24,213,1
206654,128,1,13,243,1
37801,29,1,19,213,1
152282,19,0,24,213,1
165595,19,379,24,213,1
30314,8,1,19,140,1
1890,27,1,13,122,1
153540,2,1,19,213,1
163643,45,1,41,213,1
31494,8,1,19,145,1
155000,8,1,19,145,1
106200,10,1,44,101,1
172827,35,1,25,274,1
74732,35,1,13,21,1
206255,2,1,22,213,1
106281,19,21,24,213,1
197542,110,1,20,210,1
73487,11,1,17,481,1
200504,29,1,19,101,1
141908,19,21,24,213,1
129394,29,1,10,213,1
201160,19,0,21,213,1
198008,155,1,13,213,1
188719,19,40,24,282,1
152728,19,0,24,210,1
64430,35,1,9,21,1
158625,45,1,13,213,1
147046,8,1,20,145,1
119039,35,1,22,274,1
109676,9,1,13,134,1
168135,136,0,38,268,1
112026,8,1,19,140,1
71238,10,1,19,113,1
145286,19,211,29,213,1
55805,96,208,0,213,1
204456,14,1,6,463,1
7125,5,1,19,377,1
3994,8,1,41,145,1
141979,3,1,40,480,1
116294,19,0,21,213,1
184988,19,0,29,213,1
154458,26,1,13,266,1
139232,155,1,9,213,1
28113,35,1,6,21,1
119377,32,1,19,21,1
87816,8,1,10,140,1
130286,2,1,1,377,1
138667,29,1,10,213,1
73655,2,1,6,219,1
151848,3,1,28,489,1
40995,35,1,19,21,1
165590,10,1,34,113,1
107157,8,1,19,145,1
201836,19,0,0,213,1
79877,9,1,19,134,1
198448,19,46,0,213,1
160393,36,1,1,128,1
114632,8,1,19,145,1
7593,19,0,24,213,1
54992,35,1,15,21,1
38300,251,1,19,268,1
152122,9,1,19,442,1
128965,19,33,29,213,1
183722,29,1,19,213,1
102813,8,1,19,140,1
97738,150,1,19,110,1
130834,8,1,6,145,1
145922,19,46,0,282,1
153618,29,1,12,213,1
103909,14,1,20,439,1
172280,9,1,14,134,1
81582,19,0,24,347,1
83140,9,1,19,258,1
168798,18,1,19,107,1
17460,8,1,19,145,1
152400,19,387,0,213,1
40011,155,1,13,101,1
86291,35,1,18,21,1
23674,9,1,22,134,1
204776,19,251,29,213,1
69196,35,1,22,274,1
189562,29,1,13,213,1
46283,19,0,24,213,1
5135,29,1,19,213,1
177490,29,1,19,101,1
189565,20,1,19,259,1
172887,35,1,25,274,1
177854,29,1,13,213,1
138241,72,1,1,101,1
147322,18,1,13,107,1
118324,35,1,6,21,1
9624,35,1,14,21,1
5918,35,1,13,274,1
114461,29,1,19,343,1
3442,35,1,13,274,1
50683,8,1,19,145,1
119357,8,1,19,145,1
183250,19,685,38,213,1
131432,21,1,19,113,1
115947,35,1,19,21,1
67900,9,1,10,134,1
37050,35,1,6,21,1
160956,3,1,20,137,1
81698,50,56,24,213,1
9964,167,1,12,213,1
172615,19,0,24,213,1
112095,35,1,13,21,1
153407,3,1,13,280,1
154901,19,1532,0,213,1
18839,8,1,6,145,1
38936,19,0,24,213,1
49484,19,343,0,213,1
48267,35,1,13,274,1
141422,72,1,19,101,1
119476,35,1,13,21,1
181718,35,1,10,274,1
34323,78,100,67,224,1
83535,8,1,3,145,1
159118,72,1,8,101,1
165911,27,1,19,153,1
184207,19,0,0,213,1
11006,10,1,13,317,1
210354,72,1,19,101,1
164532,19,0,21,213,1
96333,35,1,19,274,1
158647,19,95,21,213,1
184583,19,0,0,213,1
47542,19,276,38,213,1
166546,39,1,22,101,1
763,35,1,10,21,1
133011,29,1,22,101,1
108181,35,1,13,274,1
145920,19,0,0,213,1
137377,8,1,16,145,1
141446,72,1,13,101,1
200785,14,1,19,401,1
183170,9,1,8,215,1
208340,29,1,19,333,1
189361,35,1,13,21,1
99054,115,1,20,203,1
157702,84,0,38,101,1
103087,35,1,9,21,1
199819,9,1,13,442,1
128339,29,1,13,213,1
170284,136,0,0,268,1
194059,29,1,19,213,1
162342,45,1,10,213,1
169926,19,0,21,347,1
190797,19,0,24,213,1
15221,19,0,24,343,1
163577,9,1,40,215,1
165544,261,0,21,243,1
164143,29,1,40,213,1
145787,9,1,13,215,1
161075,17,1,13,280,1
202763,29,1,19,213,1
8876,8,1,18,145,1
62765,19,0,24,347,1
66873,19,0,21,347,1
199592,125,0,607,341,1
205466,9,1,19,134,1
190032,34,1,19,243,1
136161,105,1,19,451,1
91661,9,1,19,215,1
11632,35,1,10,21,1
146757,72,1,19,101,1
166465,37,1,13,282,1
76324,29,1,19,210,1
128099,51,0,21,203,1
153655,29,1,19,213,1
19709,35,1,41,274,1
184633,26,1,9,266,1
158730,9,1,13,234,1
156244,66,1,8,101,1
196668,121,1,22,203,1
70566,50,3033,0,213,1
82287,50,0,29,213,1
198022,19,0,21,213,1
66098,19,95,21,282,1
197966,19,0,0,213,1
188844,108,1,14,243,1
64543,35,1,17,21,1
81716,19,18,0,213,1
109147,19,0,38,210,1
109358,35,1,20,21,1
105157,35,1,19,274,1
61970,18,1,13,107,1
133375,19,0,38,213,1
30564,18,1,8,107,1
103801,35,1,19,21,1
179554,19,0,21,213,1
148550,19,0,29,213,1
56805,35,1,13,21,1
103183,19,0,38,213,1
161051,72,1,19,101,1
97716,9,1,13,442,1
158634,71,1,19,3,1
193654,19,6,29,213,1
107566,19,0,0,347,1
92852,11,1,8,122,1
176509,19,37,24,213,1
136433,19,38,0,213,1
200864,29,1,6,213,1
73954,150,1,19,110,1
120663,150,1,19,110,1
153610,8,1,19,145,1
73516,19,0,50,282,1
175932,14,1,40,439,1
30173,8,1,17,145,1
126824,1,1,1,452,1
93738,35,1,18,21,1
108783,35,1,3,274,1
194308,8,1,19,145,1
165585,19,0,24,347,1
204731,34,1,19,243,1
131861,20,1,19,259,1
134686,35,1,13,21,1
157308,19,49,21,333,1
175600,29,1,22,213,1
96832,35,1,13,21,1
191355,35,1,18,274,1
32335,11,1,13,319,1
71593,19,0,21,213,1
43793,72,1,19,101,1
81401,19,21,24,101,1
36968,5,1,13,377,1
41949,9,1,22,232,1
201775,3,1,28,173,1
153061,9,1,19,215,1
185076,5,1,49,113,1
190408,19,63,84,347,1
87599,19,0,29,213,1
149301,29,1,19,213,1
81060,19,0,607,347,1
19831,35,1,18,21,1
179604,19,0,29,213,1
66686,19,351,21,213,1
172225,121,1,19,203,1
145031,15,1,19,430,1
131731,72,1,8,101,1
161447,34,1,22,243,1
173861,9,1,22,134,1
1439,19,0,24,213,1
116461,35,1,20,21,1
103264,12,1,18,205,1
210752,35,1,19,21,1
92735,9,1,22,134,1
188607,19,0,24,213,1
137880,19,969,38,213,1
109738,8,1,17,145,1
44335,19,0,0,213,1
135731,29,1,15,213,1
53040,19,0,38,213,1
136026,84,0,607,101,1
84774,8,1,23,145,1
158009,21,2,18,128,1
139894,1,1,6,137,1
974,19,46,0,213,1
143638,36,1,13,110,1
132182,19,0,0,213,1
67313,60,1,13,21,1
186875,15,1,6,315,1
95501,35,1,20,274,1
118412,18,1,25,439,1
154979,8,1,18,145,1
167725,19,56,24,213,1
87940,35,1,12,21,1
173398,19,0,38,213,1
177273,19,0,21,213,1
63205,19,0,24,213,1
164216,8,1,19,145,1
2666,19,0,0,213,1
168172,64,1,13,459,1
208669,20,1,19,478,1
42143,10,1,13,113,1
201775,1,1,28,349,1
90691,35,1,19,21,1
197226,36,1,9,128,1
116913,78,1410,67,224,1
202343,10,1,17,113,1
75895,35,1,19,274,1
211552,19,78,0,213,1
175490,19,0,24,213,1
131795,19,405,21,282,1
166650,72,1,41,101,1
91526,19,0,0,213,1
155893,34,1,19,243,1
195930,3,1,13,130,1
197180,19,18,0,213,1
31842,19,0,38,347,1
133912,115,1,19,203,1
132017,19,350,21,213,1
178014,35,1,17,274,1
